"Tên chính","Tên khác","Tên khoa học","Họ","Mô tả","Bộ phận dùng","Nơi sống và thu hái","Thành phần hoá học","Tính vị, tác dụng","Công dụng, chỉ định và phối hợp","Liều dùng","Đơn thuốc"
"Mộc nhĩ trắng","Ngân nhĩ, Nấm ruột gà","Tremella fuciformis Berk.","Ngân nhĩ - Tremellaceae","Thể quả mềm, dạng cây phân nhánh gồm những bản dẹp nhăn nheo với nhiều nếp gấp và nhiều thùy. Nấm có màu trắng trong. Thịt nấm là chất keo nhầy. Lớp sinh sản phân bố ở phía ngoài thể quả.","Thể quả - Tremella, thường gọi là Bạch mộc nhĩ hay Ngân nhĩ","Nấm phát triển trên gỗ mục thân cây Sồi dẻ trong rừng ẩm, thường gặp ở Lào Cai (Sapa), Quảng Ninh (Móng Cái). Người ta thu hái thể quả từ tháng 4 đến tháng 9. Nên thu hái vào sáng sớm, chiều tối hay trong những ngày ẩm trời, râm mát. Dùng một cái dao tre để gỡ nấm. Rửa sạch, loại bỏ tạp chất rồi phơi hay sấy khô. Bảo quản ở nơi mát và khô.","","Mộc nhĩ trắng có vị ngọt, tính bình; có tác dụng bổ chung, dưỡng phế, tăng tiết nước bọt.","Thường được dùng trị: 1. Suy thận sau khi ốm, khô miệng; 2. Khô cổ, đờm rãi có máu; 3. Táo bón; 4. Huyết áp cao, xơ cứng động mạch. Ghi chú: Còn có loài Kim nhĩ - Tremella mesenteriea Retz ex Fr., có thể quả tươi màu da cam, thường mọc trên thân cây dẻ, cũng ăn được.","10-15g dạng thuốc sắc hoặc xào với thịt ăn.","1. Ho khan: Mộc nhĩ trắng 3-10g, đun nước, thêm đường uống.
2. Suy nhược sau khi ốm: Mộc nhĩ trắng 6g, Linh chi 6g, Mộc nhĩ 15g, Táo tàu 30g, vài lát Gừng. Nấu chín ăn."
"Mộc thông","C. gouriana Roxb.","Clematis vitalba L. var. gouriana (Roxb.) Finet et Gagnep.","Hoàng liên - Ranunculaceae","Cây mọc trườn, các nhánh có góc, có lông mịn vàng. Lá mọc đối, có 5 lá chét có cuống, xoan, nhọn, gần hình tim, nguyên hay hơi có răng. Hoa nhỏ, rất thơm, xếp thành xim kép ở ngọn một cuống chung. Quả bế dạng trứng có lông, ở chóp có vòi nhuỵ dạng sợi, có lông.","Toàn cây - Herba Clematidis.","Loài của Việt Nam, Lào, Nam Trung Quốc, Ấn Độ. Ở nước ta, cũng chỉ gặp ở các tỉnh phía Bắc: Lào Cai, Hoà Bình, Ninh Bình.","","Tất cả các bộ phận của cây đều có vị chát, tính nóng. Lá có hoạt chất gây phồng da, làm cho viêm tấy, gây loét. Ở Trung Quốc, cây được xem như kích thích ngũ quan và các khiếu.","Ở Trung Quốc, người ta dùng rễ trị thống phong và quả làm thuốc bổ và lợi tiêu hoá. Dùng trong, cây làm thuốc xổ nhưng có độc. Cây cũng được xem như kích thích, làm ra mồ hôi, lợi tiểu và lợi tiêu hoá. Ở Ấn Độ, lá và thân giã ra đều gây rộp da và có độc.","",""
"Mộc thông nhỏ","Ông lão Armand, Tiểu mộc thông","Clematis armandii Franch.","Hoàng liên - Ranunculaceae","Dây leo không lông, dài tới 5m. Lá mọc đối, mỗi lá có 3 lá chét thon hẹp, dài 8-12cm, rộng 2,5-8cm, gốc tròn, dày, mép uốn xuống, gân ở gốc 3, gân phụ 4-5 cặp. Cụm hoa ít hoa; hoa có lá đài to, trắng, dạng cánh hoa, dài đến 2-2,5cm; nhiều nhị; nhiều lá noãn, có vòi nhuỵ dài. Ra hoa tháng 9.","Thân - Caulis Clematidis, thường gọi là Tiểu mộc thông.","Loài của Nam Trung Quốc và Bắc Việt Nam, mọc ở bìa rừng vùng núi cao.","","Vị đắng, tính hàn, có tác dụng lợi niệu tiêu thũng, thông kinh xuống sữa.","Ðược dùng trị viêm nhiễm niệu đạo, tiểu tiện không thông, viêm thận thuỷ thũng, bế kinh, sữa không thông.","",""
"Mộc thông ta","","Iodes ovalis Blume var. vitiginea (Hance) Gagnep.","Mộc thông - Icacinaceae","Cây bụi leo, cao 7-10m. Cánh mảnh, có ít lông, có tua cuốn ở mấu. Lá hình bầu dục, hầu như hình tim ở gốc, nhọn ở đầu, mặt dưới rất nhạt; cuống lá dài, có lông mềm. Cụm hoa ở nách, gồm những chùy thưa mang hoa đơn tính, màu lục nhạt. Quả hình trứng dẹp, có lông mịn màu vàng nâu. Hạt đơn độc, nội nhũ có đầu. Ra hoa vào tháng 5-6 và có quả tháng 7-8.","Thân dây, rễ - Caulis et Radix lodis Ovalis.","Loài của Nam Trung Quốc và Việt Nam. Thường gặp ở vùng rừng núi Bắc Thái, Hải Phòng. Thu hái các bộ phận của cây quanh năm, rửa sạch, thái phiến, phơi khô.","","Vị đắng , tính lạnh, có tác dụng thanh nhiệt, lợi tiểu, tiêu viêm.","Chữa tiểu tiện không thông, phù thũng, viêm đường tiết niệu. Còn dùng chữa bế kinh, thiếu sữa. Dân gian dùng thân và lá nấu nước tắm cho đàn bà mới sinh nở và người bị ốm yếu chóng phục hồi sức khoẻ.","8-10g dạng thuốc sắc, thường phối hợp với các vị thuốc khác.","1. Chữa viêm thận cấp, đái đỏ đục, viêm gan vàng da, nước tiểu vàng sẫm và các chứng đái buốt, đái dắt, đái ra máu: Mộc thông 16g, Sinh địa, Huyền sâm, Ngưu tất mỗi vị 12g, Dành dành, Hoàng đằng (hay Núc nác) mỗi vị 8g, sắc uống.
2. Chữa đau vùng tâm vị, ăn nuốt không xuôi, bị nghẹn và đau tức vùng gan, đại tiện không thông, ợ hơi hoặc nôn oẹ, miệng thở hôi thối, lưỡi cáu vàng: Mộc thông, Bách bộ, hạt muồng sao mỗi vị 16g. Chỉ xác, nga truột, mạch môn, Ngưu tất, mỗi vị 10g, sắc uống."
"Mộc tiền","Song ly","Dischidia nummularia R. Br.","Thiên lý - Asclepiadaceae","Dây leo thảo phụ sinh, có mủ trắng, thân mảnh, có nhiều nhánh, phủ bột sáp dạng vẩy, xám. Lá nạc, dai, nhẵn, có bột lúc khô, hình mắt chim, tròn ở gốc, tù hay có dạng mui ở chóp, có vẩy ở dưới, có phiến tròn, đường kính 6-18mm, không cuống hay có cuống rất ngắn. Hoa đỏ không cuống, hình đồng tiền, xếp thành tán ở bên với cuống rất ngắn; tràng hình lục lạc. Quả đại, mảnh, cong, hình ngọn giáo, dài 6mm, hạt láng, dạng ống dẹp, cụt ở ngọn, dài 1,5mm, với một mào lông dài 2,5cm.","Toàn dây - Herba Dischidiae Nummulariae.","Loài của Ấn Độ, Malaixia, Mianma, Thái Lan, Tân Ghinê, Bắc Úc châu, Campuchia, Lào và Nam Việt Nam. Thường gặp trong rừng thưa đến độ cao 1.000m, dựa rạch nước lợ.","","","Ở Moluyc, cây được dùng làm thuốc trị các vết thương sưng đau do các gai một số loại cá gây nên. Ở Campuchia, người ta dùng phối hợp với các vị thuốc khác để nấu một loại thuốc uống tăng lực và làm thuốc trị sởi. Dân gian cũng dùng lá giã lấy nước chữa viêm tai giữa.","",""
"Mộc tiền to","Dây mỏ quạ, Song ly to, D. major (Vahl.) Merr.","Dischidia rafflesiana Wall.","Thiên lý - Asclepiadaceae","Dây leo phụ sinh, mủ trắng, thân không lông, mịn, đỏ và trăng trắng lúc khô. Lá đơn, mọc đối, có 2 dạng: Lá thường có phiến bầu dục, chóp nhọn, mập, dài, có lông mịn ở mặt trên; Lá hình bầu, dài 5-7cm, có cạnh và miệng nhỏ ở gần cuống, mặt ngoài có tầng cutin dày, mặt trong có rễ. Hoa vàng tái, họp thành tán ít hoa ở nách, tràng hình bầu. Quả là đại, dài 5-8cm, không lông; hạt nhỏ có lông mào dài 2,5cm. Ra hoa quanh năm.","Lá, rễ - Folium et Radix Dischidiae Rafflesianae.","Loài của Ấn Độ, Malaixia, Inđônêxia và Nam Việt Nam. Thường thấy ở rừng thưa bình và trung nguyên từ 0-1.000m. Thu hái lá, rễ quanh năm, thường dùng tươi.","","","Ở Ấn Độ và Malaixia, rễ lấy trong các lá hình bầu dùng phối hợp với lá Trầu không làm thuốc trị ho; các thân bò cũng có thể thay thế cho rễ. Nhân dân ở Cà mau dùng lá hình bầu trị rắn hổ cắn.","",""
"Môn bạc hà","Ráy bạc hà, Bạc hà","Alocasia odora (Roxb.) C. Koch","Ráy - Araceae","Cây thảo cao từ 0,5-1,60m, có thân rễ. Lá rất lớn, hình thuôn mũi mác, phiến màu lục nhạt, gân hình long, tai tròn, gân phụ 4-5 cặp; cuống lá rất mập dài 30-60cm đến 1m, có phần ôm thân dài bằng 1/2, có phần trăng trắng.","Lá, củ - Folium et Rhizoma Alocasiae Odorae.","Cây trồng rộng rãi ở khắp nơi để lấy cuống lá làm rau ăn. Ưa ẩm nhưng không chịu được nước ngập thân.","","","Cuống lá có thể dùng làm rau thái ăn sống, nấu với canh chua. Củ Môn bạc hà mài ra đổ cho người bị kinh phong sôi đờm, nhất là ở trẻ em, sẽ làm xuống đờm (theo lương y Nguyễn Trung Hoà).","",""
"Môn dóc","Môn chóc","Schismatoglottis calyptrata (Roxb.) Zoll et Mor.","Ráy - Araceae","Cây thảo mọc ở chỗ ẩm, có thân rễ to 1-1,5cm. Lá có phiến hình bầu dục thon, gốc hình tim, đầu có mũi, dài 15-20cm, rộng 10-15cm; cuống mập dài 30cm, phía dưới có bẹ dài bằng 1/4 - 1/5 cuống. Cụm hoa là bông mo dài 10-15cm, gồm một ống và phần trên vàng tái, mau rụng; bông với phần cái dài 3-3,5mm; phần đực ở trên dài 1cm và phần không sinh sản ở ngọn. Quả mọng đỏ.","Thân rễ và lá non - Rhizoma et Folium Schismatoglottis.","Cây mọc dọc suối ẩm, ít ánh sáng, dưới bóng những cây khác trong rừng ở vùng Trường Sơn nam, cũng gặp ở sông Cái thuộc Nha Trang (Khánh Hoà), An Giang (Gia Lai) và Krông pắc (Ðắc Lắc). Còn phân bố ở Lào và Campuchia, Trung Quốc, Malaixia, Inđônêxia.","Trong lá có vitamin C 11,2 mg, caroten 1,6mg.","","Thân rễ và lá non ăn được. Người ta cắt lấy dọc, thái bằng hai đốt ngón tay, đun nước thật sôi, chần qua rồi đem xào, nấu canh hay muối dưa.","",""
"Môn đốm","Môn cảnh","Caladium bicolor (Ait.) Vent.","Ráy - Araceae","Cây thảo, sống lâu năm. Lá có gân chân vịt, hình bầu dục, các thùy có gốc tròn, dính liền nhau ít hay nhiều từ cuống lá; cuống lá dài bằng 3-7 lần phiến lá. Cụm hoa là bông mo; buồng ngắn hơn mo. Hoa không có bao hoa; nhị dính thành nhị tụ; bầu thuôn. 1 ô, nhiều noãn. Quả mọng màu trắng.","Thân củ hình cầu - Rhizoma Caladii Bicoloris.","Loài của Nam Mỹ châu, được nhập trồng làm cảnh ở nhiều nơi.","","Củ có độc; có tác dụng thanh nhiệt tiêu thũng.","Ở Trung Quốc (Vân Nam), người ta dùng củ để trị: miệng lệch, tứ chi đau nhức, kinh phong trẻ em, đau đầu chóng mặt, người già ho khan, trẻ em ho gió, sốt cao ngất lịm, phổi sưng sinh ho. Dùng ngoài trị nhọt độc sưng đỏ.","",""
"Mồng tơi","Rau mồng tơi, B. rubra L.","Basella alba L.","Mồng tơi - Basellaceae","Cây thảo leo có thân quấn màu hung đỏ. Lá mọc so le, phiến nguyên và mọng nước. Hoa xếp thành bông, màu tím nhạt. Quả bế hình cầu hay hình trứng nằm trong bao hoa nạc tạo thành một quả giả màu tím sẫm. Có hai thứ thường trồng: thứ hoa trắng tím, quả đen nhánh và thứ hoa trắng, quả trắng.","Toàn cây - Herba Basellae Albae.","Loài cổ nhiệt đới, thường được trồng làm rau ăn. Thu hái cành lá quanh năm, thường dùng tươi. Hạt thu hái ở quả chín, phơi khô.","Lá tươi chứa nhiều vitamin (chủ yếu là vitamin A và B); cây chứa protein, calcium, sắt, vitamin, chất nhầy.","Toàn cây có vị ngọt nhạt, tính mát; có tác dụng thanh nhiệt giải độc, tiếp cốt chống đau. Lá Mồng tơi có vị chua, ngọt, tính mát; có tác dụng hoạt trường, thông đại tiểu tiện.","Mồng tơi thường được dùng làm thức ăn như rau cho người bị táo bón, người đi đái ít và đỏ, phụ nữ đẻ xong ít sữa. Dùng tươi giã đắp sưng đau vú. Hạt dùng sắc lấy nước rửa chữa đau mắt. Còn dùng tán bột hoà với mật ong bôi lên mặt cho da mặt được mịn màng, hoặc dùng thoa trị rôm sẩy. Ở Trung Quốc, toàn cây được dùng làm thuốc trị lỵ, đại tiện bí kết, viêm bàng quang, viêm ruột thừa; dùng ngoài trị gẫy xương, đòn ngã tổn thương, ngoại thương xuất huyết, bỏng lửa. Ở Ấn Độ, người ta dùng lá trong điều trị bệnh lậu và viêm quy đầu. Dịch lá dùng trị mày đay và trong trường hợp táo bón, nhất là ở trẻ em và phụ nữ có thai. Ở Thái Lan, lá được dùng trị bệnh nấm đốm tròn; hoa dùng trị bệnh nấm lang ben, rễ nhuận tràng và dùng ngoài trị sự biến màu của da tay, chân và dùng trị gàu; quả dùng làm thuốc nhuộm màu thức ăn.","",""
"Mồng tơi núi","","Pentaphragma honbaense Gagnep.","Rau lưỡi bò - Pentaphragmataceae","Cây thảo mọc bò. Thân dài 8cm, phủ lông phân nhánh. Lá có phiến hình trái xoan, hơi không cân đối, nạc, có kích thước 17-25 x 9-12cm, có răng, có lông tơ ở mặt dưới; gân bên 3-4 đôi, cong hình cung. Cuống lá dài 5-20cm, có lông nhung. Cụm hoa ở nách lá thành xim bò cạp, có cuống, dài 10cm. Hoa dài 2cm, màu trắng, không cuống; lá bắc thon, có lông nhung; đài hình nón, có 5 lá đài hình trái xoan; tràng hợp dính một ít, có 5 thùy trắng, thon, có màng; nhị 5, bao phấn nhọn; bầu dưới, hình con quay có 2 ô, chứa nhiều noãn.","Lá - Folium Pentaphragmae Honbaensis.","Loài đặc hữu, chỉ mới biết có ở vùng núi Hòn Bà, tỉnh Khánh Hoà, trên cao nguyên ở độ cao 1000-1500m.","","","Nhân dân dùng lá làm rau ăn luộc, xào hay nấu canh.","",""
"Mù mắt","Cây mù mắt, Lobelia longiflora L.","Laurentia longiflora (L.) Eudl.","Lô biên - Lobeliaceae","Cây thảo sống lưu niên, phân nhánh, cao 20-60cm, có lông mịn. Lá hình ngọn giáo nhọn, có răng, dài 10-17cm, thon hẹp ở gốc, các lá trên mọc sít nhau. Hoa trắng rất dài, mọc đơn độc ở nách lá; đài có ống cao 1cm, thùy dài cỡ 1cm; tràng có ống dài 8-11cm, thùy nhọn, dài 2cm; nhị 5, đính ở giữa ống tràng. Quả nang hình trứng, dài 1,5-2cm, nhiều hạt nhỏ. Ra hoa tháng 3.","Lá - Folium Laurentiae Longiflorae.","Gốc ở Trung Mỹ được nhập trồng ở các nước Ấn Độ, Malaixia, Inđônêxia và Việt Nam. Cây được trồng làm cảnh và cũng phát tán hoang dại ở miền Bắc nước ta.","Cây chứa một chất nhựa mủ rất đắng, thành phần chính là một base kết tinh rất độc là isotomin tương tự lobelin.","Vị đắng, cay, nóng; dịch cây làm cay mắt. Khi bị va chạm có thể gây sưng, viêm ở mắt và môi. Cây có độc, chất độc tác dụng lên hệ thần kinh và gây ngưng đập tim.","Ở Inđônêxia, lá dùng chữa đau răng, đau miệng. Ở Dominica, lá giã tươi dùng đắp các vết thương.","",""
"Mù u","Cồng hay Hồ đồng","Calophyllum inophyllum L.","Măng cụt - Clusiaceae","Cây to cao tới 20-25m, đường kính trung bình 30-35cm. Cành non nhẵn, tròn. Lá lớn, mọc đối, thon dài, mỏng; gân phụ nhiều, nhỏ, song song và gần như thẳng góc với gân chính, nổi rõ cả hai mặt; cuống lá dày và bẹt. Cụm hoa chùm ở nách lá hay ở ngọn cành gồm 5-16 hoa, thường là 9. Hoa màu trắng hay vàng cam, có 4 lá đài, 4 cánh hoa, nhiều nhị xếp thành 4-6 bó, bầu một lá noãn với một noãn đính gốc, 1 vòi nhuỵ. Quả hạch hình cầu hay hình trứng, khi chín màu vàng nhạt, chứa một hạt có vỏ dày và một lá mầm lớn dầy dần. Cây ra hoa tháng 2-6, có quả tháng 10-12.","Hạt, dầu hạt, nhựa cây, rễ, lá - Semen, Oleum, Resina, Radix et Folium Calophylli Inophylli.","Cây của miền Malaixia, châu Ðại dương, cũng mọc hoang ở nước ta, thường được trồng làm cây bóng mát. Thu hái quả tốt nhất vào lúc cây có 7-10 năm tuổi; quả chín rụng rồi khô vỏ sẽ cho nhiều dầu nhất. Nên thu từ tháng 10 đến tháng 2 năm sau. Hạt dùng tươi hay ép lấy dầu. Nhựa thu quanh năm, phơi khô, tán bột. Rễ, lá thu hái quanh năm, phơi khô.","Nhân hạt chứa 50,2-73% dầu; vỏ hạt chứa (-+) leucocyanidin, vỏ cây chứa 11,9% tanin, acid hữu cơ, saponin triterpen, phytosterol, tinh dầu, coumarin. Mủ của quả có một phần không tan trong cồn gồm các glycerid, và phần tan trong cồn chứa tinh dầu, nhựa và các lacton phức hợp (dẫn xuất coumarin): calophyllolid, mophyllolid, acid calophyllic. Chất calophyllolid có tính chất chống đông máu như các coumarin khác. Lá chứa saponin và acid hydrocyanic.","Nhựa Mù u có vị mặn, tính rất lạnh; có tác dụng gây nôn, giải các loại ngộ độc, bụng trướng đầy. Dầu Mù u có tác dụng tiêu sưng, giảm đau, sát trùng, cầm máu. Vỏ se, làm săn da. Lá độc đối với cá.","Nhựa Mù u dùng bôi làm tan các chỗ sưng tấy, chữa họng sưng không nuốt được, cam răng tẩu mã thối loét và các mụn tràng nhạc không tiêu, các mụn nhọt, vết loét nhiễm trùng, tai có mủ. Dầu Mù u dùng trị ghẻ, nấm tóc và các bệnh về da nói chung, chữa viêm dây thần kinh trong bệnh cùi, các vết thương. Cũng dùng bôi trị thấp khớp. Mủ dùng ngoài để làm lành sẹo, nhất là để trị bỏng. Vỏ cây dùng trị bệnh đau dạ dày và xuất huyết bên trong. Gỗ cây dùng thay nhựa. Rễ dùng chữa viêm chân răng.","Dầu thường dùng bôi. Nhựa và vỏ cây dùng dưới dạng bột. Người ta đã chế các sản phẩm của Mù u thành dạng xà phòng, thuốc mỡ, cao dầu, thuốc viên.","1. Ðau dạ dày: Bột vỏ Mù u 20g, bột Cam thảo nam 14g, bột Quế 1g, tá dược vừa đủ làm thành 100 viên, ngày uống 2 lần, mỗi lần 4 viên.
2. Mụn nhọt, lở, ghẻ: Hạt Mù u giã nhỏ, thêm vôi, đun sôi để nguội làm thuốc bôi. Hoặc dầu Mù u trộn với vôi, chưng nóng lên để bôi.
3. Giải độc: Hoà nhựa vào nước, uống nhiều lần thì mửa ra. Nếu không có nhựa thì dùng 120g gỗ chẻ nhỏ sắc uống nhiều lần.
4. Cam tẩu mã, viêm răng thối loét: Nhựa Mù u trộn với bột Hoàng đơn bôi liên tục vào chân răng.
5. Răng chảy máu hay lợi răng tụt xuống, chân răng lộ ra: Rễ Mù u và rễ Câu kỷ (Rau khởi) liều lượng bằng nhau, sắc nước ngậm nhiều lần.
6. Phong thấp đau xương và thận hư đau lưng hoặc bị thương đau nhức: Rễ Mù u 40g sắc uống."
